//    EXTERNAL WEAPON & AMMO DATA
//
//    NOTE!!!!!!!!! Weapontype must start the block of weapon data.
//    NOTE!!!!!!!!! Ammo must start the block of ammo data.
//
//  Weapontype - weapon data is associated with which weapon (must be first)
//	WP_SABER,			// player and NPC weapon
//	WP_BLASTER_PISTOL,	// player and NPC weapon
//	WP_BLASTER,			// player and NPC weapon
//	WP_DISRUPTOR,		// player and NPC weapon
//	WP_BOWCASTER,		// NPC weapon - player can pick this up, but never starts with them
//	WP_REPEATER,		// NPC weapon - player can pick this up, but never starts with them
//	WP_DEMP2,			// NPC weapon - player can pick this up, but never starts with them
//	WP_FLECHETTE,		// NPC weapon - player can pick this up, but never starts with them
//	WP_ROCKET_LAUNCHER,	// NPC weapon - player can pick this up, but never starts with them
//	WP_THERMAL,			// player and NPC weapon
//	WP_TRIP_MINE,		// NPC weapon - player can pick this up, but never starts with them
//	WP_DET_PACK,		// NPC weapon - player can pick this up, but never starts with them
//	WP_CONCUSSION,		// NPC weapon - player can pick this up, but never starts with them
//extras
//	WP_STUN_BATON,		// NPC weapon - player can pick this up, but never starts with them
//	WP_MELEE,			// player and NPC weapon - Any ol' melee attack
// These can never be gotten directly by the player
//NPC weapons
//	WP_BRYAR_PISTOL,	// NPC weapon - player can pick this up, but never starts with them
//	WP_EMPLACED_GUN,
//	WP_BOT_LASER,		// Probe droid	- Laser blast
//	WP_TURRET,			// turret guns
//	WP_ATST_MAIN,
//	WP_ATST_SIDE,
//	WP_TIE_FIGHTER,
//	WP_RAPID_FIRE_CONC,
//	WP_JAWA,
//	WP_TUSKEN_RIFLE,
//	WP_TUSKEN_STAFF,
//	WP_SCEPTER,
//	WP_NOGHRI_STICK,
//
//  Weaponclass   - weapon name
//  Weaponmodel   - weapon model used in game
//  weaponicon	  - interface image
//  Ammotype      - type of power weapon needs to fire
//    0 - No power
//    1 - Star Fleet power
//    2 - Alien Crystal power
//    3 - Phaser power
//  Ammolowcount	- amount when "Low ammo" warning appears on screen
//  Flashcolor		- color generate by weapon flash (R,G,B)
//  Firingsound		- sound file used when _idling_!
//	altfiringsound	- sound file used when alt-firing
//  flashsound		- sound file used by flash
//  altflashsound	- sound file used by an alt-fire flash
//	stopsound		- sound file used when a firing sound stops
//  Firetime		- amount of time between firings
//  altfireTime		- for alt fire
//  Range			- range of weapon
//  energyPerShot	- amount of energy used per shot
//  altenergypershot- for alt fire
//  barrelcount		- number of barrels the model has (weaponname_b?.md3)
//  missileModel	- missile .md3
//  altmissileModel	- alternate missile .md3
//  missileSound	- played while flying
//  altmissileSound	- alternate missile launch sound
//  missileLight	- intensity of lightsource for missile - if 0.0 then none (float)
//  altmissileLight	- alternate missile light
//  missileLightColor - color in three float style R, G, B (0.0 to 1.0) - NOTE - if you have a light, you MUST HAVE THESE
//  altmissileLightColor - alternate color in three float style R, G, B (0.0 to 1.0)
//  missileHitSound		- played on impact
//	altmissileHitSound	- for alt fire
//  missileFuncName		- missile fly function
//	altmissileFuncName	- for alt fire
//
//	For AMMO Types
//	ammoicon		- STRING
//	ammomax			- INT


// WP_NULL
{
WEAPONTYPE WP_NONE
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}

// WP_CLONERIFLE
{
weapontype       WP_CLONERIFLE
weaponclass      weapon_clonerifle
weaponmodel      models/weapons2/dc-15a/dc-15a.md3
altweaponmodel   models/weapons2/dc-15a/dc-15a.md3
weaponIcon       gfx/hud/w_icon_clonerifle
altweaponIcon    gfx/hud/w_icon_clonerifle
ammotype         4
ammolowcount     15
energypershot    1
firetime         300
range            8192
altenergypershot 2
altfiretime      100
altrange         8192
damage 		 20
altdamage 	 20
missileFuncName		clone_func
altmissileFuncName	clone_alt_func
muzzleEffect		clone/muzzle_flash
altmuzzleEffect		clone/altmuzzle_flash
selectSound		sound/weapons/blaster/select.wav
selectforce         fffx/weapons/blaster/select
overloadmuzzleEffect blaster/smokin_hot_muzzle2
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}

// WP_CLONECOMMANDO
{
weapontype       WP_CLONECOMMANDO
weaponclass      weapon_clonecommando
weaponmodel      models/weapons2/DC-17m/blaster.md3
altweaponmodel   models/weapons2/kotor_carbine/kotor_carbine.md3
weaponIcon       gfx/hud/w_icon_dc-17m
altweaponIcon    gfx/hud/w_icon_kotor_carbine
ammotype         4
ammolowcount     15
altenergypershot    1
altfiretime         125
range            8192
energypershot 6
firetime      350
altrange         8192
damage 		 15
altdamage 	 30
missileFuncName		clone_func
altmissileFuncName	clone_alt_func
muzzleEffect		dc17m/muzzle_flash
altmuzzleEffect		dc17m/altmuzzle_flash
selectSound		sound/weapons/dc17/select.wav
selectforce         fffx/weapons/blaster/select
overloadmuzzleEffect blaster/smokin_hot_muzzle3
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}

// WP_REBELRIFLE
{
weapontype       WP_REBELRIFLE
weaponclass      weapon_rebelrifle
weaponmodel      models/weapons2/A280/a280.md3
altweaponmodel   models/weapons2/kotor_drifle/kotor_drifle.md3
weaponIcon       gfx/hud/w_icon_A280
altweaponIcon    gfx/hud/w_icon_kotor_drifle
ammotype         3
ammolowcount     15
energypershot    2
firetime         350
range            8192
altenergypershot 4
altfiretime      200
altrange         8192
damage 		 30
altdamage 	 25
missileFuncName		blaster_func
altmissileFuncName	blaster_alt_func
muzzleEffect		A280/muzzle_flash
altmuzzleEffect		A280/altmuzzle_flash
selectSound			sound/weapons/flechette/select.wav
selectforce         fffx/weapons/blaster/select
overloadmuzzleEffect blaster/smokin_hot_muzzle
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}

// WP_REY
{
weapontype       WP_REY
weaponclass      weapon_rey
weaponmodel      models/weapons2/lpa_nn-14/blaster_pistol.md3
altweaponmodel   models/weapons2/kotor_hobpistol/kotor_hobpistol.md3
weaponIcon       gfx/hud/w_icon_lpa_nn-14
altweaponIcon    gfx/hud/w_icon_kotor_hobpistol
missileFuncName		bryar_func
altmissileFuncName	bryar_alt_func
ammotype         2
ammolowcount     15
energypershot    1
firetime         400
range            8192
altenergypershot 1
altfiretime      400
altrange         8192
muzzleEffect	LPA_NN-14/muzzle_flash
altmuzzleEffect	LPA_NN-14/altmuzzle_flash
altchargesound	sound/weapons/LPA_NN-14/charge.wav
selectSound		sound/weapons/bryar/select.wav
selectforce         fffx/weapons/blaster/select
overloadmuzzleEffect blaster/smokin_hot_muzzle
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}

// WP_JANGO
{
weapontype       WP_JANGO
weaponclass      weapon_jango
weaponmodel      models/weapons2/westar_if/westar.md3
altweaponmodel   models/weapons2/westar_if/westar.md3
weaponIcon       gfx/hud/w_icon_westar
altweaponIcon    gfx/hud/w_icon_westar
ammotype         2
ammolowcount     15
energypershot    1
firetime         350
range            8192
altenergypershot 1
altfiretime      250
altrange         8192
damage 		 8
altdamage 	 10
missileFuncName		blaster_func
altmissileFuncName	blaster_alt_func
muzzleEffect		westar/muzzle_flash
altmuzzleEffect		westar/altmuzzle_flash
selectSound		sound/weapons/bryar/select.wav
selectforce         fffx/weapons/blaster/select
overloadmuzzleEffect blaster/smokin_hot_muzzle
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}

// WP_BOBA
{
weapontype       WP_BOBA
weaponclass      weapon_boba
weaponmodel      models/weapons2/ee-3carbine/ee3rotj.md3
altweaponmodel   models/weapons2/kotor_reprifle/kotor_reprifle.md3
weaponIcon       gfx/hud/w_icon_ee-3
altweaponIcon    gfx/hud/w_icon_kotor_reprifle
ammotype         3
ammolowcount     15
energypershot    2
firetime         300
range            8192
altenergypershot 15
altfiretime      800
altrange         8192
damage 		 10
altdamage 	 35
missileFuncName		blaster_func
altmissileFuncName	blaster_alt_func
muzzleEffect		ee3/muzzle_flash
altmuzzleEffect		ee3/altmuzzle_flash
selectSound			sound/weapons/flechette/select.wav
selectforce         fffx/weapons/blaster/select
overloadmuzzleEffect blaster/smokin_hot_muzzle
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}


// WP_CLONEPISTOL
{
weapontype       WP_CLONEPISTOL
weaponclass      weapon_clonepistol
weaponmodel      models/weapons2/dc-17/dc-17.md3
altweaponmodel   models/weapons2/kotor_pistol1/kotor_pistol1.md3
weaponIcon       gfx/hud/w_icon_clonepistol
altweaponIcon    gfx/hud/w_icon_kotor_pistol1
missileFuncName		clone_func
altmissileFuncName	clone_pistol_alt_func
ammotype         4
ammolowcount     15
energypershot    1
firetime         400
range            8192
altenergypershot 1
altfiretime      400
altrange         8192
muzzleEffect		dc17/muzzle_flash
altmuzzleEffect		dc17/altmuzzle_flash
altchargesound	sound/weapons/demp2/altcharge.wav
selectSound		sound/weapons/bryar/select.wav
selectforce         fffx/weapons/blaster/select
overloadmuzzleEffect blaster/smokin_hot_muzzle3
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}

// WP_Z6_ROTARY_CANNON
{
weapontype       WP_Z6_ROTARY_CANNON
weaponclass      weapon_z6rotarycannon
weaponmodel      models/weapons2/z6_rotary/rotary_cannon.md3
altweaponmodel   models/weapons2/z6_rotary/rotary_cannon.md3
weaponIcon       gfx/hud/w_icon_z6_rotary_cannon
altweaponIcon    gfx/hud/w_icon_z6_rotary_cannon
ammotype         4
ammolowcount     15
energypershot    1
firetime         150
range            8192
barrelcount		 1
altenergypershot 1
altfiretime      150
altrange         8192
damage 		 20
altdamage 	 20
missileFuncName		clone_func
altmissileFuncName	clone_alt_func
muzzleEffect		z6/muzzle_flash
altmuzzleEffect		z6/altmuzzle_flash
selectSound		sound/weapons/blaster/select.wav
selectforce         fffx/weapons/blaster/select
overloadmuzzleEffect blaster/smokin_hot_muzzle2
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
stopsound	sound/weapons/z6/chaingun_spindown.wav
// flashsound	sound/weapons/z6/chaingun_spinup.wav
}

// WP_SBD_BLASTER
{
weapontype       WP_SBD_BLASTER
weaponclass      weapon_bryar_pistol
weaponmodel      models/weapons2/sbd_blaster/sbd_blaster.md3
altweaponmodel   models/weapons2/sbd_blaster/sbd_blaster.md3
weaponIcon       gfx/hud/w_icon_sbdarm
altweaponIcon    gfx/hud/w_icon_sbdarm
missileFuncName		bryar_func
altmissileFuncName	bryar_alt_func
ammotype         2
ammolowcount     15
energypershot    1
firetime         400
range            8192
altenergypershot 1
altfiretime      400
altrange         8192
muzzleEffect	sbd/muzzle_flash
altmuzzleEffect	sbd/altmuzzle_flash
altchargesound	sound/weapons/bryar/altcharge.wav
altchargeforce  	fffx/weapons/bryar/altcharge
selectSound		sound/weapons/sbd/select.wav
selectforce     	fffx/weapons/bryar/select
overloadmuzzleEffect blaster/smokin_hot_muzzle3
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}

// WP_DUAL_PISTOL
{
weapontype       WP_DUAL_PISTOL
weaponclass      weapon_dual_pistol
weaponmodel      models/weapons2/westar_if/westar.md3
altweaponmodel   models/weapons2/westar_if/westar.md3
weaponIcon       gfx/hud/w_icon_westar_dual
altweaponIcon    gfx/hud/w_icon_westar_dual
ammotype         2
ammolowcount     15
energypershot    0
firetime         325
range            8192
altenergypershot 1
altfiretime      250
altrange         8192
damage 		 8
altdamage 	 10
missileFuncName		blaster_func
altmissileFuncName	blaster_alt_func
muzzleEffect		westar/muzzle_flash
altmuzzleEffect		westar/altmuzzle_flash
selectSound			sound/weapons/bryar/select.wav
selectforce         fffx/weapons/blaster/select
overloadmuzzleEffect blaster/smokin_hot_muzzle
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}


// WP_DUAL_CLONEPISTOL
{
weapontype       WP_DUAL_CLONEPISTOL
weaponclass      weapon_clonepistol
weaponmodel      models/weapons2/dc-17/dc-17.md3
altweaponmodel   models/weapons2/kotor_pistol1/kotor_pistol1.md3
weaponIcon       gfx/hud/w_icon_clonepistol
altweaponIcon    gfx/hud/w_icon_kotor_pistol1
missileFuncName		clone_func
altmissileFuncName	clone_pistol_alt_func
ammotype         4
ammolowcount     15
energypershot    1
firetime         400
range            8192
altenergypershot 1
altfiretime      400
altrange         8192
muzzleEffect		dc17/muzzle_flash
altmuzzleEffect		dc17/altmuzzle_flash
altchargesound	sound/weapons/demp2/altcharge.wav
selectSound		sound/weapons/bryar/select.wav
selectforce         fffx/weapons/blaster/select
overloadmuzzleEffect blaster/smokin_hot_muzzle3
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}

// WP_DROIDEKA
{
weapontype       WP_DROIDEKA
weaponclass      weapon_droideka
weaponmodel      models/weapons2/noweap/noweap.md3
altweaponmodel   models/weapons2/noweap/noweap.md3
weaponIcon       gfx/hud/w_icon_westar_dual
altweaponIcon    gfx/hud/w_icon_westar_dual
ammotype         2
ammolowcount     15
energypershot    0
firetime         325
range            8192
altenergypershot 1
altfiretime      250
altrange         8192
damage 		 8
altdamage 	 10
missileFuncName		dekka_func
altmissileFuncName	dekka_func
muzzleEffect		droideka/muzzle_flash
altmuzzleEffect		droideka/muzzle_flash
selectSound			sound/weapons/bryar/select.wav
selectforce         fffx/weapons/blaster/select
overloadmuzzleEffect blaster/smokin_hot_muzzle
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}

// WP_WRIST_BLASTER
{
weapontype       WP_WRIST_BLASTER
weaponclass      weapon_wrist
weaponmodel      models/weapons2/noweap/noweap.md3
altweaponmodel   models/weapons2/noweap/noweap.md3
weaponIcon       gfx/hud/w_icon_wrist
altweaponIcon    gfx/hud/w_icon_wrist
ammotype         4
ammolowcount     15
energypershot    1
firetime         125
range            8192
altenergypershot 6
altfiretime      350
altrange         8192
damage 		 15
altdamage 	 30
missileFuncName		wrist_func
altmissileFuncName	wrist_func
muzzleEffect		wrist/muzzle_flash
altmuzzleEffect		wrist/muzzle_flash
selectSound		sound/weapons/blaster/select.wav
selectforce         fffx/weapons/blaster/select
overloadmuzzleEffect blaster/smokin_hot_muzzle
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}

// AMMO_NONE
{
AMMO AMMO_NONE
AMMOMAX  0
}

// AMMO_FORCE
{
AMMO     AMMO_FORCE
AMMOMAX  100
}

// AMMO_BLASTER
{
AMMO     AMMO_BLASTER
AMMOMAX   300
}

// AMMO_POWERCELL
{
AMMO     AMMO_POWERCELL
AMMOMAX  300
}

// AMMO_METAL_BOLTS
{
AMMO     AMMO_METAL_BOLTS
AMMOMAX  400
}

// AMMO_ROCKETS
{
AMMO     AMMO_ROCKETS
AMMOMAX  20
}

// AMMO_EMPLACED
{
AMMO     AMMO_EMPLACED
AMMOMAX  999
}

// AMMO_THERMAL
{
AMMO	AMMO_THERMAL
AMMOMAX	10
}

// AMMO_TRIPMINE
{
AMMO	AMMO_TRIPMINE
AMMOMAX	5
}

// AMMO_DETPACK
{
AMMO	AMMO_DETPACK
AMMOMAX	5
}
